Density,Abdomen,Chest,Weight,Hip
1.0708,85.2,93.1,154.25,94.5
1.0853,83.0,93.6,173.25,98.7
1.0414,87.9,95.8,154.0,99.2
1.0751,86.4,101.8,184.75,101.2
1.034,100.0,97.3,184.25,101.9
1.0502,94.4,104.5,210.25,107.8
1.0549,90.7,105.1,181.0,100.3
1.0704,88.5,99.6,176.0,97.1
1.09,82.5,100.9,191.0,99.9
1.0722,88.6,99.6,198.25,104.1
1.083,83.6,101.5,186.25,98.2
1.0812,90.9,103.6,216.0,107.7
1.0513,91.6,102.0,180.5,103.9
1.0505,101.8,104.1,205.25,108.6
1.0484,96.4,101.3,187.75,100.1
1.0512,92.8,99.1,162.75,99.2
1.0333,96.4,101.9,195.75,105.2
1.0468,97.5,107.6,209.25,107.0
1.0622,89.6,106.8,183.75,102.4
1.061,100.5,106.2,211.75,109.0
1.0551,95.9,103.3,179.0,104.9
1.064,98.8,111.4,200.5,104.8
1.0631,76.4,86.0,140.25,94.6
1.0584,80.0,86.7,148.75,93.4
1.0668,76.3,90.2,151.25,95.8
1.0911,79.7,89.6,159.25,96.5
1.0811,74.6,88.6,131.5,85.3
1.0468,88.7,97.4,148.0,94.7
1.091,73.9,93.5,133.25,88.5
1.079,83.5,97.4,160.75,98.7
1.0716,88.7,100.5,182.0,99.8
1.0862,84.5,93.5,160.25,100.6
1.0719,79.1,93.0,168.0,94.5
1.0502,100.5,111.7,218.5,108.3
1.0263,115.6,117.0,247.25,116.1
1.0101,113.1,118.5,191.75,113.8
1.0438,100.9,106.5,202.25,106.2
1.0346,98.8,105.6,196.75,104.8
1.0202,148.1,136.2,363.15,147.7
1.0258,108.1,114.8,203.0,102.5
1.0217,126.2,128.3,262.75,125.6
1.025,104.3,106.0,205.0,115.5
1.0279,111.2,113.3,217.0,114.1
1.0269,104.3,106.6,212.0,106.0
1.0814,76.0,85.1,125.25,88.2
1.067,81.5,96.6,164.25,97.2
1.0742,73.7,88.2,133.5,88.5
1.0665,79.5,89.8,148.5,92.7
1.0678,83.4,92.3,135.75,90.4
1.0903,70.4,83.4,127.5,87.2
1.0756,86.7,90.2,158.25,98.3
1.084,77.9,89.2,139.25,91.0
1.0807,82.0,89.7,137.25,89.1
1.0848,79.6,93.3,152.75,91.6
1.0906,77.6,87.6,136.25,88.6
1.0473,100.0,107.6,198.0,99.6
1.0524,99.8,100.0,181.5,102.5
1.0356,104.2,111.5,201.25,105.8
1.028,105.3,115.4,202.5,97.0
1.043,98.3,104.8,179.75,99.6
1.0396,104.8,112.3,216.0,103.1
1.0317,94.7,102.9,178.75,100.8
1.0298,102.4,107.6,193.25,99.4
1.0403,99.7,105.3,178.0,99.7
1.0264,105.5,105.3,205.5,108.3
1.0313,100.3,103.0,183.5,104.2
1.0499,83.9,90.0,151.5,93.9
1.0673,86.6,95.4,154.75,91.8
1.0847,78.4,89.3,155.25,96.1
1.0693,84.6,94.4,156.75,94.3
1.0439,91.5,97.6,167.5,98.5
1.0788,82.8,88.5,146.75,95.5
1.0796,82.9,93.6,160.75,96.3
1.068,76.0,87.7,125.0,88.6
1.072,83.3,93.4,143.0,93.0
1.0666,81.8,91.6,148.25,94.8
1.079,78.8,91.6,162.5,94.3
1.0483,95.0,102.0,177.75,98.3
1.0498,95.4,96.4,161.25,99.3
1.056,98.6,102.7,171.25,100.2
1.0283,95.8,97.7,163.75,97.1
1.0382,89.0,97.1,150.25,96.9
1.0568,97.8,103.1,190.25,99.6
1.0377,94.9,101.8,170.75,95.0
1.0378,99.8,101.4,168.0,96.2
1.0386,89.7,98.9,167.0,96.2
1.0648,88.1,97.5,157.75,96.9
1.0462,90.9,104.3,160.0,93.8
1.08,86.0,97.3,176.75,99.3
1.0666,86.5,96.7,176.0,98.3
1.052,95.6,99.7,177.0,102.2
1.0573,93.2,101.9,179.75,100.6
1.0795,83.1,97.2,165.25,95.4
1.0424,97.5,106.6,192.5,100.6
1.0785,88.8,99.6,184.25,101.4
1.0991,99.2,113.2,224.5,107.5
1.077,91.6,99.1,188.75,102.4
1.073,86.7,99.4,162.5,96.2
1.0582,88.2,95.1,156.5,92.8
1.0484,94.0,107.5,197.0,103.7
1.0506,95.0,106.5,198.5,101.7
1.0524,92.0,99.1,173.75,98.3
1.053,89.2,96.7,172.75,98.3
1.048,95.5,103.5,196.75,101.6
1.0412,98.6,104.0,177.0,99.5
1.0578,87.3,93.1,165.5,96.6
1.0547,102.8,105.2,200.25,103.6
1.0569,101.6,110.0,203.25,100.7
1.0593,88.7,110.1,194.0,102.1
1.05,92.3,97.8,168.5,100.6
1.0538,90.6,96.3,170.75,99.3
1.0355,105.0,108.0,183.25,103.0
1.0486,95.0,99.7,178.25,98.6
1.0503,89.6,93.5,163.0,99.8
1.0384,92.4,100.7,175.25,97.5
1.0607,86.6,97.0,158.0,92.6
1.0529,90.0,96.0,177.25,99.7
1.0671,90.0,99.2,179.0,96.4
1.0404,92.4,95.4,191.0,104.3
1.0575,87.5,101.8,187.5,101.0
1.0358,99.2,104.3,206.5,104.1
1.0414,98.1,99.2,185.25,101.4
1.0652,83.3,99.3,160.25,97.5
1.0623,86.1,94.0,151.5,95.2
1.0674,84.1,98.9,161.0,94.0
1.0587,89.9,101.0,167.0,100.0
1.0373,92.1,98.7,177.5,98.5
1.059,78.0,95.9,152.25,93.2
1.0515,93.5,103.9,192.25,99.5
1.0648,87.0,96.2,165.25,97.8
1.0575,90.1,97.8,171.75,95.8
1.0472,90.3,94.6,171.25,99.1
1.0452,99.8,103.6,197.0,103.2
1.0398,89.4,100.4,157.0,92.3
1.0435,87.2,98.4,168.25,98.4
1.0374,101.1,104.6,186.0,102.1
1.0491,86.1,92.9,166.75,95.6
1.0325,98.6,97.8,187.75,100.6
1.0481,88.5,98.3,168.25,98.3
1.0522,106.6,104.7,212.75,107.7
1.0422,93.1,98.6,176.75,101.6
1.0571,93.0,99.5,173.25,99.3
1.0459,91.0,102.7,167.0,98.9
1.0775,77.1,92.1,159.75,93.9
1.0754,85.3,96.6,188.15,102.5
1.0664,81.9,92.7,156.0,95.3
1.055,99.1,102.0,208.5,110.1
1.0322,100.5,110.9,206.5,106.2
1.0873,76.5,92.3,143.75,92.1
1.0416,106.8,114.1,223.0,113.9
1.0776,77.6,92.9,152.25,93.5
1.0542,102.9,108.3,241.75,114.4
1.0758,72.8,88.5,146.0,91.1
1.061,88.2,94.0,156.75,95.2
1.051,100.1,101.1,200.25,105.0
1.0594,83.5,92.1,171.5,98.3
1.0287,105.0,105.6,205.75,106.4
1.0761,90.8,98.5,182.5,102.5
1.0704,76.6,88.7,136.5,89.8
1.0477,92.4,101.1,177.25,99.3
1.0775,81.2,94.0,151.25,91.5
1.0653,95.6,103.8,196.0,105.1
1.069,92.1,98.9,184.25,103.5
1.0644,83.4,89.2,140.0,89.6
1.037,106.0,111.4,218.75,108.8
1.0549,95.1,107.5,217.0,104.5
1.0492,90.4,99.1,166.25,95.6
1.0525,100.4,108.2,224.75,106.8
1.018,115.9,114.9,228.25,111.9
1.061,90.8,99.1,172.75,98.1
1.0926,81.9,92.2,152.25,92.8
1.0983,75.0,90.8,125.75,89.2
1.0521,90.3,100.5,177.25,98.7
1.0603,90.3,98.2,176.25,99.9
1.0414,108.8,115.3,226.75,114.4
1.0763,79.4,96.8,145.25,89.2
1.0689,83.2,92.6,151.0,96.4
1.0316,110.3,119.2,241.25,113.9
1.0477,92.7,102.7,187.25,101.9
1.0603,104.5,109.5,234.75,109.9
1.0387,104.6,108.5,219.25,109.8
1.1089,69.4,79.3,118.5,85.0
1.0725,83.6,95.5,145.75,91.6
1.0713,86.8,92.3,159.25,96.1
1.0587,90.4,98.9,170.5,95.5
1.0794,83.7,89.5,167.5,98.1
1.0453,109.3,117.5,232.75,108.8
1.0524,98.9,107.4,210.5,104.1
1.052,98.0,109.2,202.25,101.8
1.0434,101.2,103.4,185.0,103.1
1.0728,80.6,91.4,153.0,92.3
1.014,113.7,115.2,244.25,112.4
1.0624,94.1,104.9,193.5,102.7
1.0429,105.7,106.7,224.75,111.8
1.047,85.6,92.2,162.75,96.5
1.0411,96.6,101.6,180.0,100.6
1.0488,86.0,97.8,156.25,96.2
1.0583,89.7,92.0,168.0,101.0
1.0841,78.0,94.0,167.25,99.0
1.0462,89.7,103.7,170.75,94.2
1.0709,89.2,102.7,178.25,99.2
1.0484,85.7,91.1,150.0,96.9
1.034,103.1,107.2,200.5,105.5
1.0854,89.1,100.8,184.0,102.6
1.0209,113.9,121.6,223.0,107.1
1.061,96.3,105.6,208.75,102.0
1.025,93.9,100.6,166.0,100.1
1.0254,101.3,102.7,195.0,101.7
1.0771,83.9,99.8,160.5,91.8
1.0742,84.4,92.9,159.75,94.0
1.0829,79.4,91.2,140.5,89.0
1.0373,104.0,115.6,216.25,109.0
1.0543,89.7,98.3,168.25,99.1
1.0561,97.6,103.7,194.75,104.2
1.0543,87.6,98.7,172.75,96.1
0.995,122.1,119.8,219.0,112.8
1.0678,81.1,92.8,149.25,96.3
1.0819,81.5,93.3,154.5,94.4
1.0433,100.0,106.8,199.25,105.0
1.0646,88.7,93.9,154.5,94.5
1.0706,91.8,99.0,153.25,96.2
1.0399,110.4,119.9,230.0,105.5
1.0726,87.6,94.2,161.75,95.6
1.0874,82.8,92.7,142.25,91.9
1.074,95.3,106.9,179.75,98.2
1.0703,78.2,88.8,126.5,87.5
1.065,91.1,101.7,169.5,97.1
1.0418,96.7,105.3,198.5,106.6
1.0647,89.4,104.0,174.5,98.4
1.0601,93.0,98.6,167.75,97.0
1.0745,86.4,99.6,147.75,90.1
1.062,96.7,103.4,182.25,100.7
1.0636,88.1,100.2,175.5,97.8
1.0384,94.9,94.9,161.75,100.2
1.0403,93.3,97.2,157.75,94.0
1.0563,95.6,104.7,168.75,93.7
1.0424,98.2,104.0,191.5,101.1
1.0372,113.8,117.6,219.15,111.8
1.0705,82.8,95.8,155.25,94.5
1.0316,100.5,106.4,189.75,100.5
1.0599,79.7,93.0,127.5,87.6
1.0207,118.0,119.6,224.5,114.3
1.0304,109.0,119.7,234.25,109.1
1.0256,113.4,115.8,227.75,109.8
1.0334,106.1,118.3,199.5,101.6
1.0641,84.3,97.4,155.5,94.4
1.0308,107.6,113.7,215.5,110.0
1.0736,83.6,89.2,134.25,88.8
1.0236,105.0,108.5,201.0,104.5
1.0328,111.5,111.1,186.75,101.7
1.0399,101.3,108.3,190.75,97.8
1.0271,108.5,112.4,207.5,107.1
